                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.5624,                0.56972,                  0.313,                0.77299,                0.99789,                0.99544,                0.99499,                0.80553,                0.96864,                0.96508,                0.96192,                0.48912,                 0.7664,                 1.1941,                0.33376,                0.79654,             0.00041118,             0.00041118,             0.00041118
                     49,                0.55482,                0.55777,                0.30816,                0.77219,                0.99773,                0.99625,                0.99499,                0.80091,                0.96574,                0.96309,                0.96093,                0.49378,                 0.7925,                 1.2537,                0.33575,                0.79763,             0.00040357,             0.00040357,             0.00040357
                     50,                0.55532,                0.56087,                0.30806,                0.77238,                0.99521,                0.99515,                0.99499,                0.80849,                0.97038,                0.96397,                0.96583,                0.50816,                0.76468,                 1.1437,                0.33208,                 0.7961,             0.00039596,             0.00039596,             0.00039596
                     51,                0.55081,                 0.5585,                0.30623,                0.77214,                0.99609,                0.99695,                0.99497,                0.80849,                0.96837,                0.96122,                0.96332,                 0.4957,                0.77461,                 1.2193,                0.33165,                0.79694,             0.00038835,             0.00038835,             0.00038835
                     52,                0.55196,                0.55789,                0.30572,                0.77241,                0.99328,                0.99262,                0.99497,                0.80704,                0.96677,                0.95896,                0.96406,                 0.4948,                0.77003,                 1.2226,                0.33496,                0.79572,             0.00038073,             0.00038073,             0.00038073
                     53,                0.54606,                0.55453,                 0.3035,                0.77284,                 0.9988,                0.99803,                  0.995,                0.81007,                0.96762,                0.96662,                0.96311,                0.50346,                0.76804,                 1.2131,                0.32785,                 0.7957,             0.00037312,             0.00037312,             0.00037312
                     54,                0.54647,                 0.5561,                0.30246,                0.77219,                0.99661,                0.99667,                0.99499,                0.81079,                0.96761,                0.96777,                0.96683,                0.50672,                0.75732,                 1.1577,                0.32855,                0.79558,             0.00036551,             0.00036551,             0.00036551
                     55,                0.54492,                0.55082,                0.30057,                0.77155,                0.99831,                0.99761,                0.99499,                0.80736,                0.96793,                0.96774,                0.96318,                0.50058,                0.77259,                 1.2334,                0.32952,                 0.7961,             0.00035789,             0.00035789,             0.00035789
                     56,                0.54782,                0.55656,                0.30196,                0.77124,                0.99735,                0.99633,                0.99498,                0.81216,                 0.9661,                0.96515,                0.96315,                0.49801,                 0.7673,                 1.2525,                0.32762,                0.79614,             0.00035028,             0.00035028,             0.00035028
                     57,                 0.5449,                0.54699,                 0.2988,                0.77177,                0.99692,                  0.996,                0.99499,                0.81001,                0.96771,                0.96643,                0.96458,                0.50284,                0.76524,                 1.2339,                0.32839,                0.79587,             0.00034267,             0.00034267,             0.00034267
                     58,                0.54146,                0.54518,                0.29864,                  0.772,                0.99612,                0.99511,                0.99499,                0.81216,                0.96914,                0.96394,                0.96651,                0.50657,                0.76519,                 1.1705,                 0.3262,                 0.7953,             0.00033505,             0.00033505,             0.00033505
                     59,                 0.5363,                0.54658,                0.29555,                0.77143,                0.99747,                0.99752,                0.99499,                 0.8103,                0.96688,                0.96687,                0.96372,                0.50076,                0.76813,                  1.231,                0.32174,                0.79628,             0.00032744,             0.00032744,             0.00032744
                     60,                0.53461,                0.54171,                0.29375,                0.77152,                0.99281,                0.99509,                0.99492,                0.80888,                0.96334,                0.96546,                0.96629,                0.50267,                0.77508,                 1.1966,                0.33124,                0.79611,             0.00031983,             0.00031983,             0.00031983
                     61,                0.53392,                0.53937,                0.29381,                0.77109,                0.99676,                 0.9969,                  0.995,                0.81057,                0.96635,                0.96651,                0.96476,                0.50201,                0.76483,                  1.197,                0.32197,                0.79565,             0.00031221,             0.00031221,             0.00031221
                     62,                0.52953,                0.54113,                0.29241,                0.77102,                0.99838,                0.99697,                  0.995,                0.81055,                0.97045,                0.96827,                0.96817,                0.50108,                0.76428,                 1.2049,                0.32262,                0.79552,              0.0003046,              0.0003046,              0.0003046
                     63,                0.53535,                0.54441,                0.29273,                0.77096,                0.99867,                 0.9979,                  0.995,                0.81317,                0.97028,                0.96952,                0.96798,                0.50862,                0.75809,                 1.2125,                0.32043,                0.79451,             0.00029699,             0.00029699,             0.00029699
                     64,                0.53232,                0.54182,                0.29069,                0.77199,                0.99725,                0.99702,                0.99499,                0.81448,                0.96806,                0.96469,                0.96489,                0.50399,                0.76222,                 1.2643,                0.32319,                0.79503,             0.00028937,             0.00028937,             0.00028937
                     65,                0.52735,                0.53587,                0.28953,                0.77131,                0.99528,                0.99594,                0.99499,                0.81115,                0.96524,                0.96585,                0.96623,                 0.5057,                0.77156,                 1.2252,                0.32498,                0.79574,             0.00028176,             0.00028176,             0.00028176
                     66,                0.52506,                0.53768,                0.28741,                0.77099,                0.99602,                0.99632,                0.99498,                0.81205,                0.96833,                0.96624,                 0.9669,                0.50715,                0.76319,                 1.2164,                0.32085,                0.79539,             0.00027415,             0.00027415,             0.00027415
                     67,                0.52497,                0.52912,                0.28761,                0.77036,                0.99682,                0.99722,                0.99499,                0.81441,                0.96748,                0.96755,                0.96788,                0.51189,                0.76092,                 1.2376,                0.32077,                0.79443,             0.00026654,             0.00026654,             0.00026654
                     68,                0.52296,                0.53281,                0.28736,                   0.77,                0.99805,                0.99764,                0.99499,                0.81391,                0.97032,                0.96814,                0.96656,                0.51006,                0.76095,                 1.1823,                0.31892,                0.79504,             0.00025892,             0.00025892,             0.00025892
                     69,                0.51905,                0.53021,                0.28372,                0.77079,                0.99796,                0.99534,                0.99499,                0.81352,                0.96823,                0.96431,                0.96467,                0.50827,                0.76696,                 1.2045,                0.31969,                0.79535,             0.00025131,             0.00025131,             0.00025131
                     70,                0.51891,                0.52396,                0.28337,                0.77106,                0.99685,                0.99724,                0.99498,                0.81185,                0.96655,                0.96587,                0.96517,                0.50341,                0.76672,                 1.2304,                0.31892,                0.79532,              0.0002437,              0.0002437,              0.0002437
                     71,                0.51847,                0.52997,                0.28384,                0.77003,                0.99815,                0.99608,                0.99498,                0.81476,                0.96752,                0.96532,                0.96399,                0.51077,                0.75385,                 1.2148,                0.31732,                0.79475,             0.00023608,             0.00023608,             0.00023608
